,ticker,buy_date,buy_price,sell_date,sell_price,profit
0,000670,2020-11-20,527000.0,2020-01-23,651000.0,23.52941176470588
1,002920,2020-11-27,2810.0,2020-01-23,2590.0,-7.829181494661921
2,019180,2020-12-03,2470.0,2020-01-23,4150.0,68.0161943319838
3,005720,2020-12-03,4715.0,2020-01-23,5940.0,25.980911983032872
4,001390,2020-12-18,24050.0,2020-01-23,12750.0,-46.98544698544699
5,007340,2020-12-21,25850.0,2020-01-23,29300.0,13.346228239845262
6,018500,2020-12-23,742.0,2020-01-23,928.0,25.067385444743934
7,032560,2020-12-23,7770.0,2020-01-23,7190.0,-7.4646074646074645
8,003960,2020-12-18,16550.0,2020-01-28,15400.0,-6.948640483383686
9,011780,2020-01-22,78900.0,2020-01-28,72300.0,-8.365019011406844
10,009310,2020-01-22,1575.0,2020-01-28,1480.0,-6.031746031746032
11,192650,2020-01-22,6730.0,2020-01-28,6300.0,-6.389301634472511
12,003000,2020-01-22,15000.0,2020-01-29,14250.0,-5.0
13,001340,2020-01-28,3900.0,2020-01-29,3300.0,-15.384615384615385
14,000660,2020-01-22,101000.0,2020-01-30,94000.0,-6.9306930693069315
15,281820,2020-01-22,22650.0,2020-01-30,21500.0,-5.077262693156733
16,005930,2020-01-23,60800.0,2020-01-30,57200.0,-5.921052631578947
17,033270,2020-01-22,17600.0,2020-01-31,16500.0,-6.25
18,011780,2020-01-28,72300.0,2020-01-31,65400.0,-9.54356846473029
19,001820,2020-01-29,58600.0,2020-01-31,54500.0,-6.996587030716723
20,001570,2020-01-22,2420.0,2020-02-04,2565.0,5.991735537190083
21,001820,2020-01-31,54500.0,2020-02-04,59200.0,8.623853211009175
22,002170,2020-11-30,63300.0,2020-02-05,60000.0,-5.213270142180095
23,033270,2020-01-31,16500.0,2020-02-05,17900.0,8.484848484848486
24,000660,2020-01-30,94000.0,2020-02-06,100500.0,6.914893617021277
25,005930,2020-01-30,57200.0,2020-02-06,61100.0,6.8181818181818175
26,042700,2020-01-31,8700.0,2020-02-06,9270.0,6.551724137931035
27,001570,2020-02-04,2565.0,2020-02-07,2780.0,8.382066276803119
28,192650,2020-01-28,6300.0,2020-02-10,6820.0,8.253968253968253
29,009310,2020-01-28,1480.0,2020-02-14,1585.0,7.094594594594595
30,281820,2020-01-30,21500.0,2020-02-14,23000.0,6.976744186046512
31,009190,2020-02-05,3925.0,2020-02-14,3500.0,-10.828025477707007
32,248170,2020-01-22,32500.0,2020-02-18,30600.0,-5.846153846153846
33,011780,2020-02-06,70900.0,2020-02-18,66900.0,-5.6417489421720735
34,001570,2020-02-07,2780.0,2020-02-19,2635.0,-5.215827338129497
35,003000,2020-01-29,14250.0,2020-02-20,13450.0,-5.614035087719298
36,281820,2020-02-14,23000.0,2020-02-20,21650.0,-5.869565217391305
37,033270,2020-02-05,17900.0,2020-02-21,16800.0,-6.145251396648044
38,192650,2020-02-10,6820.0,2020-02-21,6330.0,-7.184750733137831
39,069260,2020-01-22,19950.0,2020-02-24,18300.0,-8.270676691729323
40,005930,2020-02-06,61100.0,2020-02-24,56800.0,-7.037643207855974
41,009190,2020-02-14,3500.0,2020-02-24,3285.0,-6.142857142857143
42,248170,2020-02-18,30600.0,2020-02-24,28650.0,-6.372549019607843
43,001340,2020-02-20,3700.0,2020-02-24,3110.0,-15.945945945945947
44,281820,2020-02-21,21100.0,2020-02-24,19800.0,-6.161137440758294
45,009190,2020-02-24,3285.0,2020-02-25,3510.0,6.8493150684931505
46,042700,2020-02-24,9190.0,2020-02-25,9670.0,5.223068552774755
47,000660,2020-02-06,100500.0,2020-02-26,94600.0,-5.870646766169154
48,009310,2020-02-14,1585.0,2020-02-27,1405.0,-11.35646687697161
49,011330,2020-02-04,1820.0,2020-02-28,1620.0,-10.989010989010989
50,003000,2020-02-20,13450.0,2020-02-28,12550.0,-6.691449814126393
51,033270,2020-02-21,16800.0,2020-02-28,15800.0,-5.952380952380952
52,281820,2020-02-24,19800.0,2020-02-28,17850.0,-9.848484848484848
53,009190,2020-02-25,3510.0,2020-02-28,3175.0,-9.544159544159545
54,000660,2020-02-26,94600.0,2020-02-28,87900.0,-7.08245243128964
55,009310,2020-02-27,1405.0,2020-02-28,1290.0,-8.185053380782918
56,009310,2020-02-28,1290.0,2020-03-02,1360.0,5.426356589147287
57,281820,2020-02-28,17850.0,2020-03-02,18800.0,5.322128851540616
58,000660,2020-02-28,87900.0,2020-03-03,92800.0,5.5745164960182025
59,003000,2020-02-28,12550.0,2020-03-03,13200.0,5.179282868525896
60,033270,2020-02-28,15800.0,2020-03-03,17500.0,10.759493670886076
61,009190,2020-02-28,3175.0,2020-03-03,3800.0,19.68503937007874
62,281820,2020-03-02,18800.0,2020-03-04,19800.0,5.319148936170213
63,004700,2020-01-23,37600.0,2020-03-05,39500.0,5.053191489361701
64,001570,2020-02-19,2635.0,2020-03-05,2795.0,6.072106261859583
65,003000,2020-03-03,13200.0,2020-03-05,14300.0,8.333333333333332
66,042700,2020-03-03,9070.0,2020-03-05,9560.0,5.402425578831313
67,069260,2020-02-24,18300.0,2020-03-09,17200.0,-6.0109289617486334
68,192650,2020-02-24,6010.0,2020-03-09,5630.0,-6.322795341098169
69,248170,2020-02-25,29650.0,2020-03-09,27950.0,-5.733558178752108
70,011330,2020-02-28,1620.0,2020-03-09,1520.0,-6.172839506172839
71,009310,2020-03-02,1360.0,2020-03-09,1255.0,-7.720588235294118
72,000660,2020-03-03,92800.0,2020-03-09,86900.0,-6.357758620689655
73,033270,2020-03-03,17500.0,2020-03-09,16400.0,-6.2857142857142865
74,009190,2020-03-05,3225.0,2020-03-09,2860.0,-11.317829457364342
75,042700,2020-03-05,9560.0,2020-03-09,8810.0,-7.845188284518828
76,003000,2020-03-05,14300.0,2020-03-10,18900.0,32.16783216783217
77,005930,2020-02-24,56800.0,2020-03-11,52100.0,-8.274647887323944
78,281820,2020-03-04,19800.0,2020-03-11,18000.0,-9.090909090909092
79,192650,2020-03-09,5630.0,2020-03-11,5290.0,-6.039076376554174
80,033270,2020-03-09,16400.0,2020-03-11,15550.0,-5.182926829268292
81,010120,2020-03-09,43650.0,2020-03-11,41250.0,-5.498281786941581
82,003000,2020-03-10,18900.0,2020-03-11,17000.0,-10.052910052910052
83,001570,2020-03-05,2795.0,2020-03-12,2575.0,-7.8711985688729875
84,009190,2020-03-09,2860.0,2020-03-12,2485.0,-13.111888111888112
85,011330,2020-03-09,1520.0,2020-03-12,1340.0,-11.842105263157894
86,042700,2020-03-09,8810.0,2020-03-12,7920.0,-10.102156640181612
87,001820,2020-03-09,56500.0,2020-03-12,50300.0,-10.973451327433628
88,281820,2020-03-11,18000.0,2020-03-12,16900.0,-6.111111111111111
89,192650,2020-03-11,5290.0,2020-03-12,4745.0,-10.302457466918714
90,033270,2020-03-11,15550.0,2020-03-12,14450.0,-7.07395498392283
91,003000,2020-03-11,17000.0,2020-03-12,15800.0,-7.0588235294117645
92,000660,2020-03-09,86900.0,2020-03-13,82500.0,-5.063291139240507
93,069260,2020-03-09,17200.0,2020-03-13,15500.0,-9.883720930232558
94,027970,2020-03-11,1640.0,2020-03-13,1385.0,-15.548780487804878
95,001570,2020-03-12,2575.0,2020-03-13,2350.0,-8.737864077669903
96,281820,2020-03-12,16900.0,2020-03-13,15800.0,-6.508875739644971
97,009190,2020-03-12,2485.0,2020-03-13,2305.0,-7.2434607645875255
98,192650,2020-03-12,4745.0,2020-03-13,4355.0,-8.21917808219178
99,033270,2020-03-12,14450.0,2020-03-13,13600.0,-5.88235294117647
100,011330,2020-03-12,1340.0,2020-03-13,1200.0,-10.44776119402985
101,003000,2020-03-12,15800.0,2020-03-13,16600.0,5.063291139240507
102,001820,2020-03-12,50300.0,2020-03-13,46000.0,-8.548707753479125
103,005930,2020-03-11,52100.0,2020-03-16,48900.0,-6.142034548944338
104,042700,2020-03-12,7920.0,2020-03-16,7170.0,-9.469696969696969
105,192650,2020-03-13,4355.0,2020-03-16,4120.0,-5.39609644087256
106,003000,2020-03-13,16600.0,2020-03-16,15400.0,-7.228915662650602
107,001820,2020-03-13,46000.0,2020-03-16,40750.0,-11.41304347826087
108,019180,2020-03-13,2440.0,2020-03-16,2265.0,-7.172131147540983
109,001570,2020-03-13,2350.0,2020-03-17,2220.0,-5.531914893617021
110,009190,2020-03-13,2305.0,2020-03-17,2145.0,-6.941431670281996
111,003000,2020-03-16,15400.0,2020-03-17,16500.0,7.142857142857142
112,000660,2020-03-13,82500.0,2020-03-18,73100.0,-11.393939393939394
113,281820,2020-03-13,15800.0,2020-03-18,14700.0,-6.962025316455696
114,027970,2020-03-13,1385.0,2020-03-18,1460.0,5.415162454873646
115,145720,2020-03-13,32950.0,2020-03-18,30150.0,-8.49772382397572
116,192650,2020-03-16,4120.0,2020-03-18,3840.0,-6.796116504854369
117,001820,2020-03-16,40750.0,2020-03-18,38500.0,-5.521472392638037
118,042700,2020-03-16,7170.0,2020-03-18,6510.0,-9.205020920502092
119,005930,2020-03-16,48900.0,2020-03-18,45600.0,-6.748466257668712
120,019180,2020-03-16,2265.0,2020-03-18,2035.0,-10.154525386313466
121,001570,2020-03-17,2220.0,2020-03-18,2100.0,-5.405405405405405
122,009190,2020-03-17,2145.0,2020-03-18,1970.0,-8.158508158508159
123,003000,2020-03-17,16500.0,2020-03-18,14950.0,-9.393939393939393
124,011330,2020-03-13,1200.0,2020-03-19,1040.0,-13.333333333333334
125,000660,2020-03-18,73100.0,2020-03-19,69000.0,-5.60875512995896
126,001570,2020-03-18,2100.0,2020-03-19,1775.0,-15.476190476190476
127,009190,2020-03-18,1970.0,2020-03-19,1460.0,-25.888324873096447
128,192650,2020-03-18,3840.0,2020-03-19,3020.0,-21.354166666666664
129,281820,2020-03-18,14700.0,2020-03-19,12800.0,-12.925170068027212
130,001820,2020-03-18,38500.0,2020-03-19,34500.0,-10.38961038961039
131,003000,2020-03-18,14950.0,2020-03-19,17000.0,13.712374581939798
132,042700,2020-03-18,6510.0,2020-03-19,5270.0,-19.047619047619047
133,005930,2020-03-18,45600.0,2020-03-19,42950.0,-5.81140350877193
134,145720,2020-03-18,30150.0,2020-03-19,26700.0,-11.442786069651742
135,027970,2020-03-18,1460.0,2020-03-19,1240.0,-15.068493150684931
136,000990,2020-03-18,16550.0,2020-03-19,15000.0,-9.365558912386707
137,000660,2020-03-19,69000.0,2020-03-20,74800.0,8.405797101449275
138,009190,2020-03-19,1460.0,2020-03-20,1610.0,10.273972602739725
139,192650,2020-03-19,3020.0,2020-03-20,3520.0,16.55629139072848
140,042700,2020-03-19,5270.0,2020-03-20,6070.0,15.180265654648956
141,001820,2020-03-19,34500.0,2020-03-20,38250.0,10.869565217391305
142,005930,2020-03-19,42950.0,2020-03-20,45400.0,5.70430733410943
143,145720,2020-03-19,26700.0,2020-03-20,32700.0,22.47191011235955
144,027970,2020-03-19,1240.0,2020-03-20,1490.0,20.161290322580644
145,293480,2020-03-19,14600.0,2020-03-20,16200.0,10.95890410958904
146,000990,2020-03-19,15000.0,2020-03-20,17300.0,15.333333333333332
147,011330,2020-03-19,1040.0,2020-03-23,985.0,-5.288461538461538
148,000660,2020-03-20,74800.0,2020-03-23,69400.0,-7.219251336898395
149,001570,2020-03-20,1945.0,2020-03-23,1755.0,-9.768637532133676
150,009190,2020-03-20,1610.0,2020-03-23,1485.0,-7.763975155279502
151,281820,2020-03-20,16300.0,2020-03-23,15100.0,-7.361963190184049
152,042700,2020-03-20,6070.0,2020-03-23,5610.0,-7.57825370675453
153,001820,2020-03-20,38250.0,2020-03-23,34950.0,-8.627450980392156
154,005930,2020-03-20,45400.0,2020-03-23,42500.0,-6.387665198237885
155,192650,2020-03-20,3520.0,2020-03-24,3855.0,9.517045454545455
156,293480,2020-03-20,16200.0,2020-03-24,17400.0,7.4074074074074066
157,000660,2020-03-23,69400.0,2020-03-24,78700.0,13.400576368876079
158,281820,2020-03-23,15100.0,2020-03-24,16450.0,8.940397350993377
159,001820,2020-03-23,34950.0,2020-03-24,38500.0,10.157367668097281
160,042700,2020-03-23,5610.0,2020-03-24,6090.0,8.55614973262032
161,005930,2020-03-23,42500.0,2020-03-24,46950.0,10.470588235294118
162,005610,2020-03-23,40650.0,2020-03-24,43650.0,7.380073800738007
163,018250,2020-03-19,19500.0,2020-03-25,21200.0,8.717948717948717
164,009190,2020-03-23,1485.0,2020-03-25,1635.0,10.1010101010101
165,011330,2020-03-23,985.0,2020-03-25,1130.0,14.720812182741117
166,000660,2020-03-24,78700.0,2020-03-25,84500.0,7.369758576874205
167,192650,2020-03-24,3855.0,2020-03-25,4150.0,7.652399481193256
168,042700,2020-03-24,6090.0,2020-03-25,6830.0,12.151067323481117
169,001820,2020-03-24,38500.0,2020-03-25,40900.0,6.233766233766234
170,033270,2020-03-24,14200.0,2020-03-25,15000.0,5.633802816901409
171,003000,2020-03-19,17000.0,2020-03-26,18450.0,8.529411764705882
172,011330,2020-03-25,1130.0,2020-03-26,1190.0,5.3097345132743365
173,009190,2020-03-25,1635.0,2020-03-27,1845.0,12.844036697247708
174,033270,2020-03-25,15000.0,2020-03-27,20150.0,34.333333333333336
175,001570,2020-03-24,1835.0,2020-03-30,1960.0,6.811989100817439
176,192650,2020-03-25,4150.0,2020-03-30,4440.0,6.987951807228916
177,027970,2020-03-25,1515.0,2020-03-30,1710.0,12.871287128712872
178,003000,2020-03-26,18450.0,2020-03-30,19500.0,5.691056910569105
179,009190,2020-03-27,1845.0,2020-03-30,1965.0,6.504065040650407
180,014820,2020-03-27,17500.0,2020-03-30,18600.0,6.2857142857142865
181,003000,2020-03-30,19500.0,2020-03-31,25350.0,30.0
182,000660,2020-03-25,84500.0,2020-04-01,78400.0,-7.218934911242604
183,001570,2020-03-30,1960.0,2020-04-01,2080.0,6.122448979591836
184,014820,2020-03-30,18600.0,2020-04-01,20200.0,8.60215053763441
185,033270,2020-03-31,19700.0,2020-04-01,17250.0,-12.436548223350254
186,281820,2020-03-24,16450.0,2020-04-02,17400.0,5.775075987841945
187,009190,2020-03-30,1965.0,2020-04-02,2080.0,5.852417302798982
188,192650,2020-03-30,4440.0,2020-04-02,5210.0,17.34234234234234
189,019180,2020-03-30,2280.0,2020-04-02,2405.0,5.482456140350877
190,145720,2020-03-20,32700.0,2020-04-06,34450.0,5.351681957186544
191,001820,2020-03-25,40900.0,2020-04-06,44350.0,8.43520782396088
192,011330,2020-03-26,1190.0,2020-04-06,1320.0,10.92436974789916
193,000660,2020-04-01,78400.0,2020-04-06,83100.0,5.994897959183673
194,001570,2020-04-01,2080.0,2020-04-06,2195.0,5.528846153846153
195,033270,2020-04-01,17250.0,2020-04-06,18300.0,6.086956521739131
196,018250,2020-04-01,22600.0,2020-04-06,24800.0,9.734513274336283
197,009190,2020-04-02,2080.0,2020-04-06,2210.0,6.25
198,005930,2020-03-24,46950.0,2020-04-07,49600.0,5.644302449414271
199,042700,2020-03-25,6830.0,2020-04-07,7490.0,9.66325036603221
200,019180,2020-04-02,2405.0,2020-04-07,2640.0,9.771309771309772
201,009190,2020-04-06,2210.0,2020-04-07,2335.0,5.656108597285068
202,001820,2020-04-06,44350.0,2020-04-07,47500.0,7.1025930101465615
203,011330,2020-04-06,1320.0,2020-04-09,1455.0,10.227272727272728
204,033270,2020-04-06,18300.0,2020-04-09,19350.0,5.737704918032787
205,009190,2020-04-07,2335.0,2020-04-09,2590.0,10.920770877944326
206,001570,2020-04-06,2195.0,2020-04-13,2085.0,-5.0113895216400905
207,042700,2020-04-07,7490.0,2020-04-13,7050.0,-5.874499332443257
208,019180,2020-04-07,2640.0,2020-04-13,2410.0,-8.712121212121213
209,009190,2020-04-09,2590.0,2020-04-13,2360.0,-8.880308880308881
210,011330,2020-04-09,1455.0,2020-04-13,1345.0,-7.560137457044673
211,033270,2020-04-09,19350.0,2020-04-13,17300.0,-10.594315245478036
212,145720,2020-04-06,34450.0,2020-04-16,36700.0,6.531204644412192
213,001570,2020-04-13,2085.0,2020-04-17,2190.0,5.0359712230215825
